id,name,price,inventory,description,product_active,merchant_id,photo_url
1,1 dozen locally-sourced grass-fed organic cage-free eggs,37,6,"Lorem ipsum dolor amet pok pok bicycle rights 8-bit man braid, kinfolk humblebrag shabby chic.",TRUE,1,https://picsum.photos/200/?random
2,single-origin shade-grown fair-trade coffee,20,30,Mumblecore coloring book DIY YOLO chia farm-to-table leggings man bun glossier trust fund.,TRUE,4,https://picsum.photos/200/?random
3,kale chips,46,5,"Aesthetic snackwave sriracha sartorial, butcher microdosing vinyl four loko flannel green juice. ",TRUE,1,https://picsum.photos/200/?random
4,kombucha,39,31,"Subway tile hexagon letterpress austin cloud bread helvetica, cardigan single-origin coffee flannel squid master cleanse microdosing lo-fi.",TRUE,3,https://picsum.photos/200/?random
5,PBR,52,28,"Scourge scared, drowning helpless sheep at, terrifying and crazy gory. Flames at crazy slicing with murderer gore. Mental hospital sliced drowning. chainsaw dread full moon, pushed at alley bruises, children is knife. Willow trees undead wind, unknown ripped needles. Breathin.",TRUE,2,https://picsum.photos/200/?random
6,bulletproof coffee,10,5,Hammock franzen pug ramps tbh. Bitters ugh tousled sartorial.,TRUE,1,https://picsum.photos/200/?random
7,turmeric latte,36,26,"Hell of keytar adaptogen, austin franzen pop-up kombucha fixie aesthetic glossier bushwick.",TRUE,4,https://picsum.photos/200/?random
8,wildcrafted mugwort tea,52,5,"Adaptogen banjo next level sartorial, tofu four loko mustache intelligentsia tumblr DIY shabby chic celiac. ",TRUE,2,https://picsum.photos/200/?random
9,cold-pressed green juice,24,6,"Typewriter la croix vape yr. Distillery venmo tousled, pour-over pop-up hexagon deep v green juice.",TRUE,3,https://picsum.photos/200/?random
10,handcrafted artisan soy candle,12,3,Lomo food truck austin live-edge blog ugh. Meggings before they sold out chillwave tattooed chicharrones trust fund jean shorts.,TRUE,1,https://picsum.photos/200/?random
11,Himalayan salt lamp,22,34,"Mumblecore banh mi vape, butcher dreamcatcher coloring book af kale chips schlitz adaptogen paleo leggings messenger bag.  Dark mutilation rotten, Blood hair raising or, blood i.",TRUE,2,https://picsum.photos/200/?random
12,essential oil aromatherapy diffuser,49,17,Skateboard normcore chicharrones disrupt farm-to-table sartorial 8-bit banh mi beard.,TRUE,3,https://picsum.photos/200/?random
13,sage,43,14,"Mustache paleo sustainable green juice jianbing vegan plaid. Bushwick man bun poke pickled beard, williamsburg lumbersexual ramps succulents chicharrones. chainsaw knife crazed choking helpless. Creep cold graves, shadow non fear a, psychotic ashes ghost. Horror bowels exorcism grave cut, murderer creature ripped. Breathing heavily damp, cold and crying running, stalking slicing stabbing dripping (blood), is creaking screaming 666 at kettle. Bloodcurdling motionless murder, disturbing ominous runnin.",TRUE,3,https://picsum.photos/200/?random
14,palo santo,52,7,"8-bit four loko green juice keffiyeh mixtape, etsy tofu palo santo normcore freegan copper mug squid viral. ",TRUE,4,https://picsum.photos/200/?random
15,mason jars,12,23,"Coloring book meditation ugh synth, hell of shaman palo santo raw denim selfies before they sold out tattooed air plant.",TRUE,1,https://picsum.photos/200/?random
16,copper mule mug,20,32,"Chia 90's activated charcoal shabby chic twee seitan marfa vinyl tilde chambray yr cornhole street art pickled.  bruises, children is knife. Horror bowels exorcism grave cut, murderer creature ripped. Blood guns bury scream, stab graveyard crazed dark crying. In the deranged Halloween slice. Buried non guts claw and creature hair-raising decapitated at est. Worms with guts ect. I.",TRUE,1,https://picsum.photos/200/?random
17,tiny house made from reclaimed wood,23,22,Church-key chia meh tumblr franzen taiyaki unicorn chicharrones subway tile tousled.,TRUE,1,https://picsum.photos/200/?random
18,charcoal toothpaste,52,24,"8-bit four loko green juice keffiyeh mixtape, etsy tofu palo santo normcore freegan copper mug squid viral.",TRUE,3,https://picsum.photos/200/?random
19,crystal collection,20,28,"Coloring book meditation ugh synth, hell of shaman palo santo raw denim selfies before they sold out tattooed air plant.",TRUE,2,https://picsum.photos/200/?random
20,ukelele banjo hybrid,40,5,"Hell flames. In willow trees, killer dolls are rotten teeth bite, sheep children virus nibh, in zombies brains unknown ghost creepy. Eerie needles edginess, graveyard on death rotten, disturbing non grave. Drenched scream scared dark. Cat at decapitated guns. Undead obsession tear horrifying, a devil fiendish tense in. Haunt tearin.",TRUE,2,https://picsum.photos/200/?random
21,beard oil,25,10,Chia 90's activated charcoal shabby chic twee seitan marfa vinyl tilde chambray yr cornhole street art pickled.,TRUE,3,https://picsum.photos/200/?random
22,plaid flannel,30,11,"Church-key chia meh tumblr franzen taiyaki unicorn Creep cold graves, shadow non fear a, psychotic ashes ghost. Eyeball cat silent, morbid in damp torture, 666 at brains. Haunt suicide silent, gory as demonic alarming, burie.",TRUE,1,https://picsum.photos/200/?random
23,hoodie,23,22,"Beard affogato pork belly mlkshk franzen. children virus nibh, in zombies brains unknown ghost creepy. Creep cold graves, shadow non fear a, psychotic ashes ghost. Trapped flesh grotesque squeal, bloodcurdling chilling hair-raising spooky hazardous daring. Creep serial killer, bury a scourge menacing, pai.",TRUE,3,https://picsum.photos/200/?random
24,skinny jeans,54,28,Flannel cardigan microdosing coloring book succulents waistcoat cornhole ethical pork belly yr messenger bag bicycle rights.,TRUE,2,https://picsum.photos/200/?random
25,vans,56,30,Artisan brooklyn plaid woke yuccie flannel truffaut copper mug irony leggings.,TRUE,1,https://picsum.photos/200/?random
26,neon fanny pack,40,20,"Shoreditch migas cray knausgaard 90's, iPhone humblebrag pour-over single-origin coffee direct trade lomo tbh.",TRUE,3,https://picsum.photos/200/?random
27,macrame wall hanging,24,40,"Swag hashtag edison bulb single-origin coffee XOXO 90's scenester master cleanse, man bun semiotics. In the deranged Halloween slice. Psycho crazy mental hospital moon. Eyeball cat silent, morbid in damp torture, 666 at brains. Pain needles commodo drool rabid nightmare. Demons in fallen angel non terror decomposed rotten teeth. Pain needles commodo drool rabid nightmare. Horror bowels exorcism grave cut, murderer creature ripped. Dungeon in a gruesome, a disembowel unknown. Creep serial killer.",TRUE,4,https://picsum.photos/200/?random
28,chemex,23,22,Migas marfa iPhone prism four dollar toast truffaut man bun messenger bag pug pop-up.,TRUE,3,https://picsum.photos/200/?random
29,fixie bike,54,28,"Food truck trust fund street art snackwave gastropub, mlkshk helvetica pok pok meh truffaut cronut",TRUE,4,https://picsum.photos/200/?random
30,wooden bowtie,56,30,Taiyaki jianbing chicharrones la croix prism fixie iPhone vegan asymmetrical shaman shabby chic squid everyday carry fam.,TRUE,1,https://picsum.photos/200/?random
31,man bun,40,20,"DIY yuccie brunch, hella tilde woke kombucha blog gentrify pour-over. ",TRUE,1,https://picsum.photos/200/?random
32,air plant terrarium,24,40,"Raclette marfa semiotics, put a bird on it organic cardigan polaroid waistcoat palo santo church-key venmo.",TRUE,4,https://picsum.photos/200/?random
33,turntable & vinyl,85,2,"Swag hashtag edison bulb single-origin coffee XOXO 90's scenester master cleanse, man bun semiotics. In the deranged Halloween slice. Psycho crazy mental hospital moon. Eyeball cat silent, morbid in damp torture, 666 at brains. Pain needles commodo drool rabid nightmare. Demons in fallen angel non terror decomposed rotten teeth. Pain needles commodo drool rabid nightmare. Horror bowels exorcism grave cut, murderer creature ripped. Dungeon in a gruesome, a disembowel unknown. Creep serial killer.",TRUE,1,https://picsum.photos/200/?random
